month,segment_id,action_type,title,rationale,score,업종_중분류,사업장_시도,법인_고객등급,전담고객여부
2024-12-01,화학물질 및 화학제품 제조업; 의약품 제외|울산광역시|일반|N,LIQUIDITY_STRESS,운영자금/한도 리프레시 제안,한도소진율↑ + 순유입 악화 → 자금압박 가능성,88.0,화학물질 및 화학제품 제조업; 의약품 제외,울산광역시,일반,N
2024-12-01,"가죽, 가방 및 신발 제조업|부산광역시|일반|Y",LIQUIDITY_STRESS,운영자금/한도 리프레시 제안,한도소진율↑ + 순유입 악화 → 자금압박 가능성,87.76818242379979,"가죽, 가방 및 신발 제조업",부산광역시,일반,Y
2024-12-01,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업|대구광역시|일반|N",LIQUIDITY_STRESS,운영자금/한도 리프레시 제안,한도소진율↑ + 순유입 악화 → 자금압박 가능성,84.00859446090605,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",대구광역시,일반,N
2024-12-01,개인 및 소비용품 수리업|대구광역시|일반|Y,LIQUIDITY_STRESS,운영자금/한도 리프레시 제안,한도소진율↑ + 순유입 악화 → 자금압박 가능성,81.90942977182961,개인 및 소비용품 수리업,대구광역시,일반,Y
2024-12-01,자동차 및 부품 판매업|경상북도|일반|Y,LIQUIDITY_STRESS,운영자금/한도 리프레시 제안,한도소진율↑ + 순유입 악화 → 자금압박 가능성,81.27792911150858,자동차 및 부품 판매업,경상북도,일반,Y
2024-12-01,"가죽, 가방 및 신발 제조업|부산광역시|최우수|Y",LIQUIDITY_STRESS,운영자금/한도 리프레시 제안,한도소진율↑ + 순유입 악화 → 자금압박 가능성,80.82981097386683,"가죽, 가방 및 신발 제조업",부산광역시,최우수,Y
2024-12-01,육상운송 및 파이프라인 운송업|경상북도|일반|Y,LIQUIDITY_STRESS,운영자금/한도 리프레시 제안,한도소진율↑ + 순유입 악화 → 자금압박 가능성,79.71451808363575,육상운송 및 파이프라인 운송업,경상북도,일반,Y
2024-12-01,부동산업|대구광역시|우수|Y,LIQUIDITY_STRESS,운영자금/한도 리프레시 제안,한도소진율↑ + 순유입 악화 → 자금압박 가능성,79.14801700174188,부동산업,대구광역시,우수,Y
2024-12-01,"의복, 의복 액세서리 및 모피제품 제조업|경상북도|최우수|N",LIQUIDITY_STRESS,운영자금/한도 리프레시 제안,한도소진율↑ + 순유입 악화 → 자금압박 가능성,78.20652173913044,"의복, 의복 액세서리 및 모피제품 제조업",경상북도,최우수,N
2024-12-01,숙박업|부산광역시|최우수|Y,LIQUIDITY_STRESS,운영자금/한도 리프레시 제안,한도소진율↑ + 순유입 악화 → 자금압박 가능성,76.18715694096814,숙박업,부산광역시,최우수,Y
2024-12-01,"폐기물 수집, 운반, 처리 및 원료 재생업|경상북도|일반|N",LIQUIDITY_STRESS,운영자금/한도 리프레시 제안,한도소진율↑ + 순유입 악화 → 자금압박 가능성,73.94493995074097,"폐기물 수집, 운반, 처리 및 원료 재생업",경상북도,일반,N
2024-12-01,출판업|경상북도|일반|N,LIQUIDITY_STRESS,운영자금/한도 리프레시 제안,한도소진율↑ + 순유입 악화 → 자금압박 가능성,73.84770598943489,출판업,경상북도,일반,N
2024-12-01,종합 건설업|경상남도|일반|Y,LIQUIDITY_STRESS,운영자금/한도 리프레시 제안,한도소진율↑ + 순유입 악화 → 자금압박 가능성,73.79999999999998,종합 건설업,경상남도,일반,Y
2024-12-01,자동차 및 트레일러 제조업|경상북도|일반|Y,LIQUIDITY_STRESS,운영자금/한도 리프레시 제안,한도소진율↑ + 순유입 악화 → 자금압박 가능성,72.7054963230244,자동차 및 트레일러 제조업,경상북도,일반,Y
2024-12-01,종합 건설업|경상남도|우수|Y,LIQUIDITY_STRESS,운영자금/한도 리프레시 제안,한도소진율↑ + 순유입 악화 → 자금압박 가능성,71.96422771492283,종합 건설업,경상남도,우수,Y
2024-12-01,금속가공제품 제조업; 기계 및 가구 제외|경상북도|최우수|Y,LIQUIDITY_STRESS,운영자금/한도 리프레시 제안,한도소진율↑ + 순유입 악화 → 자금압박 가능성,71.92668315785458,금속가공제품 제조업; 기계 및 가구 제외,경상북도,최우수,Y
2024-12-01,"의료, 정밀, 광학기기 및 시계 제조업|대구광역시|일반|Y",LIQUIDITY_STRESS,운영자금/한도 리프레시 제안,한도소진율↑ + 순유입 악화 → 자금압박 가능성,70.78798557533267,"의료, 정밀, 광학기기 및 시계 제조업",대구광역시,일반,Y
2024-12-01,창고 및 운송관련 서비스업|인천광역시|최우수|N,LIQUIDITY_STRESS,운영자금/한도 리프레시 제안,한도소진율↑ + 순유입 악화 → 자금압박 가능성,70.00869353799023,창고 및 운송관련 서비스업,인천광역시,최우수,N
2024-12-01,기타 제품 제조업|nan|우수|Y,LIQUIDITY_STRESS,운영자금/한도 리프레시 제안,한도소진율↑ + 순유입 악화 → 자금압박 가능성,66.40792657153932,기타 제품 제조업,,우수,Y
2024-12-01,기타 운송장비 제조업|경상북도|일반|Y,LIQUIDITY_STRESS,운영자금/한도 리프레시 제안,한도소진율↑ + 순유입 악화 → 자금압박 가능성,66.39999999999999,기타 운송장비 제조업,경상북도,일반,Y
2024-12-01,자동차 및 트레일러 제조업|nan|최우수|Y,LIQUIDITY_STRESS,운영자금/한도 리프레시 제안,한도소진율↑ + 순유입 악화 → 자금압박 가능성,65.83549359078948,자동차 및 트레일러 제조업,,최우수,Y
